IYEAR	OPERATOR_ID	RPTID	NAME	OPSTREET	OPCITY	OPCOUNTY	OPSTATE	OPZIP	IHOUR	IDATE	ACSTREET	ACCITY	ACSTATE	ACCOUNTY	ACZIP	LATITUDE	LONGITUDE	CLASS	IFED	LRTYPE	LRTYPE_TEXT	LEAK	LEAK_TEXT	PUNC_DIAM	RUPTURE	RUPTURE_TEXT	RUPLN	PROPLN	FATAL	EFAT	GPFAT	NFAT	INJURE	EINJ	GPINJ	NINJ	PRPTY	GASPRP	OPPRP	PPPRP	IGNITE	EXPLO	EVAC	EVACNO	EVAC_REASON	EVAC_REASON_TEXT	STHH	STMN	TELRN	TELDT	INC_PRS	MAOP	MAOPEST	MAOPTST	TYSYS	TYSYS_TEXT	TYSYSO	PRTFL	PRTFL_TEXT	PRTFLO	MLKD	MLKD_TEXT	PLAS_DUCT	PLAST_JNT	PLAS_BRIT	MLKDO	PRTYR	NPS	WALLTHK	SPEC	SMYS	SEAM	VALVE	MANU	MANYR	LOCLK	LOCLK_TEXT	LOCLKO	CAUSE	CAUSE_TEXT	CAUSE_DETAILS_TEXT	PIPE_COAT	PIPE_COAT_TEXT	VIS_EXAM	VIS_EXAM_TEXT	VIS_EXAMO	COR_CAUSE	COR_CAUSE_TEXT	COR_CAUSEO	PROT	CPYR	PREV_DAM	PREV_DAM_YR	PREV_DAM_MO	EARTH_MOVE	EARTH_MOVE_TEXT	EARTH_MOVEO	FLOODS	FLOODS_TEXT	FLOODSO	TEMPER	TEMPER_TEXT	TEMPERO	THIRD_PARTY_GRP	THIRD_PARTY_GRP_TEXT	THIRD_PARTY_TYPE	THIRD_PARTY_TYPE_TEXT	THIRD_PARTY_TYPEO	NOTIF	NOTIF_DATE	NOTIF_RCVD	NOTIF_RCVD_TEXT	MARKED	TEMP_MARK	TEMP_MARK_TEXT	PERM_MARK	ACC_MARK	ACC_MARK_TEXT	MKD_IN_TIME	FIRE_EXPLO	FIRE_EXPLO_TEXT	PIPE_BODY	PIPE_BODY_TEXT	PIPE_BODYO	COMPONENT	COMPONENT_TEXT	COMPONENTO	JOINT	JOINT_TEXT	JOINTO	BUTT	BUTT_TEXT	BUTTO	FILLET	FILLET_TEXT	FILLETO	PIPE_SEAM	PIPE_SEAM_TEXT	PIPE_SEAMO	FAIL_TYPEMAT	FAIL_TYPECONS	CONS_DEF	CONS_DEF_TEXT	PIPE_DAMAGE	PRS_TEST	TEST_MO	TEST_DAY	TEST_YR	TEST_TP	TEST_PRS	MALFUNC	MALFUNC_TEXT	MALFUNCO	THREADS	THREADS_TEXT	THREADSO	IO_TYPE	IO_TYPE_TEXT	IO_TYPEO	IO_DRUG	IO_ALCO	IO_QUAL	IO_QUAL_HRS	MISC	UNKNOWN	UNKNOWN_TEXT	DEPTH_COV	PNAME	PTEL	PEMAIL	NARRATIVE
2004	18536	20040116	SOUTHWEST GAS CORP	PO BOX 98510	LAS VEGAS	CLARK	NV	891938510	1310	2/27/2004	111TH ST & PARADISE LN	SCOTTSDALE	AZ	MARICOPA	85255	33.63194	-111.83972	3	NO	0		0			2	LONGITUDINAL-TEAR/CRACK	2		0	0	0	0	0	0	0	0	50000	0	50000	0	NO	NO	YES	3	2	PRECAUTIONARY	1	56	714572	2/27/2004	60	60	TEST PRESSURE	92	1	MAIN		1	BODY OF PIPE		3	POLYETHYLENE PLASTIC					1996	4	0.41	ASTM D-2513				PHILLIPS	1996	4	UNDER GROUND		14	MATERIAL AND/OR WELD FAILURES	BODY OF PIPE																												NULL				NULL			NULL			NULL			5	OTHER	SLOW CRACKED GROWTH																YES				NO	NO																						36	"SHAWN BRINK, ADMINISTRATOR/DIVISION COMPLIANCE"	6024845489	SHAWN.BRINK@SWGAS.COM	"<P>SOUTHWEST GAS EXPERIENCED A GAS LEAK ON A 4"" PE MAIN THAT WAS INSTALLED IN JOINT TRENCH WITH A 12"" WATER MAIN. THE GAS LINE WAS BELOW THE WATER LINE AND AS A RESULT SOUTHWEST GAS USED VALVES TO CONTROL THE LEAK. WE WERE UNABLE TO DETERMINE THE CAUSE DUE TO THE PROXIMITY TO THE WATER LINE. AS A RESULT A 300' SECTION OF MAIN WAS ABANDONED AND REPLACED WITH A NEW SECTION. TESTING IS UNDERWAY TO DETERMINE THE CAUSE OF THE LEAK. A SUPPLEMENTAL REPORT WILL BE SUBMITTED WHEN THE INVESTIGATION IS COMPLETE. </P>  <P>PL 2003-0408. SUPPLEMENTAL REPORT AS OF FEBRUARY 25, 2005: A SAMPLE OF THE FAILED PIPE REMOVED FROM THE LEAK SITE WAS SENT IN FOR LABORATORY ANALYSIS. THE CRACK THAT WAS FOUND ON THE PIPE WAS DETERMINED TO BE THE RESULT OF A MATERIAL DEFECT, NOTABLY POLYMIDE (NYLON) CONTAMINATION THAT APPARENTLY OCCURED IN THE MANUFACTURING PROCESS. THE CORRESPONDING SECTIONS OF THIS REPORT HAVE BEEN AMENDED TO REFLECT THIS RESULT. </P>"
2004	12876	20040117	QUESTAR GAS COMPANY	PO BOX 45360	SALT LAKE CITY	SALT LAKE	UT	84145	2154	2/21/2004	1331 S 100 E	MAPLETON	UT	UTAH	84664	40.11888	-111.56582	3	NO	1	LEAK	3	PUNCTURE	0					0	0	0	0	0	0	0	0	100771	230	541	100000	YES	NO	NULL				3	0	714027	2/21/2004	42	60	TEST PRESSURE	90	2	METER SET		3	JOINT		1	STEEL					2001	0.75	0.11	ASTM A53 GRD A	30000	ERW	NA	RW LYALL	2001	3	ABOVE GROUND		5	NATURAL FORCES	HEAVY RAINS/FLOODS																	5	OTHER	SNOW									NULL				NULL			NULL			NULL																									NULL	NULL																							"TROY D SORENSEN, ASSOCIATE ENGINEER"	8013243152	TROY.SORENSEN@QUESTAR.COM	"PERSONNEL FROM THE UTAH STATE FIRE MARSHAL'S OFFICE DETERMINED THAT THE FIRE WAS CAUSED AS A RESULT OF SNOW SLIDING OFF THE ROOF OF THE STRUCTURE AND IMPACTING THE NATURAL GAS METER.  THE IMPACT OF THIS SNOW DISPLACED THE METER ASSEMBLY BREAKING THE PIPE AT THE REGULATOR (QUESTAR OWNED PIPING) AND AT A TEE INSIDE THE STRUCTURE (CUSTOMER OWNED PIPING).  NATURAL GAS WAS RELEASED AT THESE POINTS THEN IGNITED BY THE FURNACE, THE PRESUMED IGNITION SOURCE, INSIDE THE STRUCTURE."
2004	20211	20040118	ATMOS ENERGY CORPORATION	2300 VICTORY DRIVE	COLUMBUS	MUSCOGEE	GA	31901	120	2/15/2004	1370 BELINDA DR	COLUMBUS	GA	MUSCOGEE	31829	32.47401N	84.92216W	3	NO	4	OTHER				1	CIRCUMFERENTIAL-SEPARATION			0	0	0	0	0	0	0	0	100000	0	0	100000	YES	NO	NULL				1	30	713387	2/15/2004	72	100	TEST PRESSURE	150	1	MAIN		1	BODY OF PIPE		2	CAST/WROUGHT IRON					1956	12	0.5	UNKNOWN		N/A	N/A	UNKNOWN AT THIS TIME	1956	7	OTHER	UNDER SOIL FILL	1	CORROSION	"CORROSION, EXTERNAL"	1	BARE	3	OTHER	LOCALIZED GRAPHITIC CORROSION OF 12.5% DEPTH	5	OTHER	NONE APPARENT TO DATE	NO		NO																	NULL				NULL			NULL			NULL																									NULL	NULL																			SEE PART G BELOW			168	"ROGER GARMS, GEORGIA OPERATIONS MANAGER"	7065762862	ROGER.GARMS@ATMOSENERGY.COM	"FRACTURED PIPE UNEARTHED ON FEB.20TH 2004.  THE SECTION OF PIPE WHERE THE FRACTURE WAS FOUND WAS TAKEN INTO CUSTODY BY THE GEORGIA PSC FOR METALLURGICAL ANALYSIS, WHICH BEGAN ON MARCH 15, 2004. THE METALLURGICAL ANALYSIS OF THE PIPES REVEALED A STRESS FRACTURE, THE ROOT CAUSE OF WHICH WAS NOT KNOWN BY THE METALLURGIST HIRED BY THE GEORGIA PSC. THE INVESTIGATION OF SOIL CONDITIONS AROUND THE GAS MAIN REVEALED THE INSTALLATION OF A SANITARY SEWER PIPE THAT INITIALLY APPEARED TO BE APPROX 10 FEET BELOW THE GAS MAIN. (AS PER ANALYSIS BY EXPERTS). SUBSEQUENT INVESTIGATION REVEALED DATA OF A DEPTH OF THE BOTTOM OF THE SEWER BETWEEN 7.5 FEET AND 10.5 FEET BELOW THE GAS MAIN. THIS 42 INCH DIAMETER SEWER PIPE WAS INSTALLED SEVERAL YEARS AGO AFTER THE GAS MAIN WAS INSTALLED. THE FOLLOWING REPRESENTS THE OPINIONS OF INVESTIGATING SOIL AND ENGINEERING EXPERTS:    THE SEWER PIPE INSTALLATION AT THE DEPTH PROBABLY INVOLVED A TRENCH 20 TO 25 FEET WIDE AT THE ELEVATION OF THE GAS MAIN.   THE BACKFILL OF THE SEWER PIPE TRENCH IS PRESENTLY IN A LOOSE CONDITION INFERRING LOOSE COMPACTION DURING PLACEMENT. AS A RESULT, THE BACKFILL CONSOLIDATED FROM UNDER THE GAS MAIN AND SETTLED AWAY FROM THE PIPE 20 FEET TO 25 FEET IN LENGTH. THE CAST IRON PIPE COULD SUPPORT THE OVERHEAD FORCES OF SOIL COVER AS ORIGINALLY INSTALLED. BUT, WHEN AN EVER INCREASING AMOUNT OF FILL WAS PLACED OVER THE GAS MAIN, THE OVERHEAD FORCES EXCEEDED THE SPECIFICATIONS FOR THE PIPE WITH A LOSS OF SUPPORT BELOW. THE METALLURGICAL ANALYSIS BY THE PSC EXPERT REVEALED A SUBSTANTIAL AMOUNT OF INTACT WALL THICKNESS (87.5 % AS PER REPORT OF JAMES LANE), WHICH WOULD HAVE BEEN SUFFICIENT TO WITHSTAND FORESEEABLE OPERATING PRESSURES AND LOADS."
2004	10030	20040119	KINDER MORGAN RETAIL	370 VAN GORDON	LAKEWOOD	DOUGLAS	CO	80228	853	2/17/2004	211 SERAPIO	TELLURIDE	CO	SAN MIGUEL	81453			3	NO	4	OTHER								0	0	0	0	0	0	0	0	1000427	427	0	1000000	YES	YES	NULL					45	713571	2/17/2004	40	80	TEST PRESSURE	120	3	SERVICE LINE		5	OTHER	"TOP OF RISER, THREAD"	5	OTHER MATERIAL				ANODELESS RISER/SERVICE VALVE	2003	1								3	ABOVE GROUND		24	OTHER	MISCELLANEOUS																												NULL				NULL			NULL			NULL																									NULL	NULL																			SERVICE VALVE BROKEN OFF BY THIRD PARTY MANUAL FORCE.				"REBECCA VOSS FIELDS, SENIOR COMPLIANCE ENGINEER"	7133699418	REBECCA_FIELDS@KINDERMORGAN.COM	
2004	18532	20040120	TEXAS GAS SERVICE COMPANY 	1301 SOUTH MOPAC EXPRESSWAY SUITE 400	AUSTIN	TRAVIS	TX	78746	1350	3/5/2004	RANCH MARKET ROAD 620 & BOULDER LANE	AUSTIN	TX	TRAVIS	78717	30.505972 N	97.747187 W	3	NO	1	LEAK	3	PUNCTURE	1					0	0	0	0	0	0	0	0	101759	58564	0	0	NO	NO	NULL				22	32	04CA256	3/5/2004	200	230	TEST PRESSURE	620	1	MAIN		1	BODY OF PIPE		1	STEEL					1985	12	0.22		35000	NA	NA	UNKNOWN		4	UNDER GROUND		9	EXCAVATION DAMAGE	THIRD PARTY EXCAVATION DAMAGE																							3	EXCAVATOR OTHER THAN OPERATOR/SUBCONTRACTOR	10	OTHER	DRILLING TO SET POLES FOR INFORMATIONAL SIGNS	YES	1/6/2004	1	ONE-CALL SYSTEM	YES	3	PAINT	NULL			NULL																									NULL	NULL																						48	MICHAEL WILLIAMS	5124651103	MWILLIAMS@TXGAS.COM	"A CONTRACTOR STRUCK A 12"" STEEL NATURAL GAS MAIN WITH A 36"" AUGER ATTACHMENT FROM THE REAR OF A DRILLING TRUCK CAUSING NATURAL GAS TO ESCAPE.  THE LOCAL FIRE DEPARTMENT TEMPORARILY CLOSED A SECTION OF RM 620 UNTIL THE AREA WAS BROUGHT UNDER CONTROL.  TEXAS GAS SERVICE PERSONNEL CONDUCTED PERMANENT REPAIRS REPLACING THE SECTION OF DAMAGED PIPE AFTER IT WAS ISOLATED."
2004	2748	20040121	CONSUMERS ENERGY CO	1945 W PARNALL ROAD	JACKSON	JACKSON	MI	49201	215	2/1/2004	7166 BISHOP ROAD	GREEN OAK	MI	LIVINGSTON	48116	42.496527	-83.754518	2	NO	1	LEAK	3	PUNCTURE	1					0	0	0	0	0	0	0	0	251010	10	1000	250000	YES	YES	NULL				1	35	712714	2/2/2004	45	60	TEST PRESSURE	90	3	SERVICE LINE		1	BODY OF PIPE		3	POLYETHYLENE PLASTIC					1994	0.63	0.06	ASTM 2513 D		NA	NA	DRISCOPIPE	1992	4	UNDER GROUND		23	INCORRECT OPERATION	INCORRECT OPERATION																												NULL				NULL			NULL			NULL																									NULL	NULL												3	FAILURE TO FOLLOW PROCEDURES									18	"JOAQUIN J AFFONSO, MANAGER OF REGULATORY SERVICES"	5177881835	JJAFFONSO@CMSENERGY.COM	"ON FEBRUARY 1, 2004 AN EMPLOYEE WAS INVESTIGATION A POSSIBLE GAS LEAK ON A PLASTIC MAIN LOCATE IN THE STREET ROW.  DURING THE LEAK INVESTIGATION PROCEDURE THE EMPLOYEE, FOLLOWING COMPANY STANDARDS, BEGAN TO CHECK FOR GAS IN THE GROUND BEGINNING AT THE HOUSE NEAR THE SERVICE ENTRANCE.  THE FIRST SURVEY PROBE RESULTED IN ZERO GAS FOUND NEAR THE METER INSTALLATION.  THE EMPLOYEE THEN MOVED TO A LOCATION APPROXIMATELY 7 FEET AWAY FROM THE METER INSTALLATION AND ATTEMPTED TO COMPLETE ANOTHER PROBE TO CHECK FOR GAS IN THE GROUND.  THE EMPLOYEE INADVERTENTLY DAMAGED THE 5/8 INCH PLASTIC GAS SERVICE LINE RESULTING IN GAS ESCAPING TO THE ATMOSPHERE.  DUE TO FROST IN THE GROUND THE GAS MIGRATED TOWARD THE HOUSE AND ENTERED THE WEEPING TILE SYSTEM BURIED ALONG THE PERIMETER OF THE HOUSE.  THE GAS SUBSEQUENTLY ENTERED THE BASEMENT OF THE HOUSE WHERE IT IGNITED CAUSING STRUCTURAL DAMAGE AND SUBSEQUENTLY RESULTED IN A STRUCTURE FIRE."
2004	17360	20040122	"RICHMOND DEPT OF PUBLIC UTILITIES, CITY OF"	730 EAST BROAD STREET	RICHMOND	N/A	VA	23219	2240	3/18/2004	1709 NORTH 21ST STREET	RICHMOND	VA	N/A	23223	37.54772N	77.394772W	4	NO	3	N/A								0	0	0	0	1	0	0	1	0	0	0	0	YES	NO	NULL				0	5	716442	3/19/2004			49 CFR SEC 192.619(a)(30)		1	MAIN		5	OTHER	CONTRACTOR ERROR	2	CAST/WROUGHT IRON						4		PIT CAST IRON		UNKNOWN		UKNOWN		2	UNDER PAVEMENT		23	INCORRECT OPERATION	INCORRECT OPERATION																												NULL				NULL			NULL			NULL																									NULL	NULL												3	FAILURE TO FOLLOW PROCEDURES		0	0						48	"ROBERT M HOWARD,DEPUTY DIRECTOR GAS & LIGHT"	8046468301	BHOWARD@CI.RICHMOND.VA.US	"ON THURSDAY, 03/19/2004 AT APPROXIMATELY 2240 HOURS, HENKELS & MCKOY CREW #8 WAS KILLING TWO GAS SERVICES TO 1709 AND 1711 NORTH 21ST STREET.  THE SERVICE TO 1711 NORTH 21ST STREET WAS KILLED AND THE CREW WAS WORKING TO KILL THE SERVICE TO 1709 NORTH 21ST STREET. TWO HENKELS & MCKOY PERSONS WERE IN THE EXCAVATION (MR. BEN MULLES AND MR. ANDY PENINGTON).  MR. PENINGTON CUT THE PLASTIC SERVICE AND UNSCREWED THE TEE. MR. PENINGTON REACHED BACK TO GET A PLUG TO SCREW INTO THE GAS MAIN WHEN THE CONSTRUCTION LIGHT FELL AND IGNITED THE GAS.  MR. PENINGTON WAS BURNED ON HIS FACE AND ARMS.  HE WAS TRANSPORTED TO THE MEDICAL COLLEGE OF VIRGINIA HOSPITAL FOR TREATMENT.  BEN MULLENS WAS TRANSPORTED TO THE MEDICAL COLLEGE OF VIRGINIA HOSPITAL FOR TREATMENT LATER THAT EVENING."
2004	1209	20040124	BAY STATE GAS CO	995 BELMONT STREET	BROCKTON	PLYMOUTH	MA	02301	1705	4/13/2004	9 ROCKWOOD STREET	WALPOLE	MA	NORFOLK	02081			3	NO	3	N/A								0	0	0	0	0	0	0	0	151010	10	1000	150000	YES	YES	NULL				0	20	718776	4/14/2004	50	99	49 CFR SEC 192.619(a)(30)		2	METER SET		5	OTHER	UNDETERMINED	1	STEEL					1960	1	0.13	UNKNOWN	24000	UNKNOWN	UNKNOWN	UNKNOWN		6	INSIDE/UNDER BUILDING		24	OTHER	MISCELLANEOUS																												NULL				NULL			NULL			NULL																									NULL	NULL																			SEE NARRATIVE 				"JAMES J MURPHY, MANAGER SERVICE AND METER"	5085800100	JMURPHY@NISOURCE.COM	"APRIL 21 2006  -----------------    THE INCIDENT WAS INVESTIGATED BY THE MASSACHUSETTS STATE FIRE MARSHALLS OFFICE , TROOPER MARK VARKAS. SEE THE ATTACHED REPORT. THE INCIDENT HAS BEEN DETERMINED TO BE ACCIDENTAL. IT IS BELIEVED THE HOMEOWNER, WHILE HAMMERING NAILS INTO THE SIDE OF THE HOUSE CAUSED AN OBJECT TO FALL FROM A WOODEN SHELF ONTO THE GAS REGULATOR. THE REGULATOR BECAME DAMAGED AND AS A RESULT A SMALL LEAK DEVELOPED WHICH RESULTED IN THE ABOVE DESCRIBED INCIDENT."
2004	20010	20040125	UGI UTILITIES INC	100 KACHEL BLVD SUITE 400	READING	BERKS	PA	19612	1948	3/26/2004	403 SOUTH QUEEN STREET	LANCASTER	PA	LANCASTER	17604	40.031431	-76.304408	3	NO	4	OTHER								0	0	0	0	1	1	0	0	60200	0	200	60000	YES	YES	YES	6	4	COMPANY POLICY	1	7	77140	3/26/2004	0	1	49 CFR SEC 192.619(a)(30)		3	SERVICE LINE		5	OTHER	NIPPLE FITTING	1	STEEL						0.75	0.09	UNKNOWN		UNKNOWN	NA	UNKNOWN		6	INSIDE/UNDER BUILDING		24	OTHER	MISCELLANEOUS																												NULL				NULL			NULL			NULL																									NULL	NULL																			ROLLING VEHICLE TIRE MOUNTED ON WHEEL STRUCK AND BROKE NIPPLE LENGTH ON SERVICE CAUSING BREAK AT A THREADED JOINT.				JAMES R HEINTZ	6107963528	JHEINTZ@UGI.COM	"AT 20:20 (APPROXIMATELY) MARCH 26, 2004 AN EXPLOSION OCCURRED AT THE RESIDENCE OF 403 SOUTH QUEEN STREET, LANCASTER, PENNSYLVANIA DUE TO AN UNKNOWN IGNITION SOURCE.  A UGI UTILITY, INC (UGI) EMERGENCY RESPONDER WAS IN THE PROCESS OF INVESTIGATION AN INSIDE LEAK CALL WHEN THE EXPLOSION OCCURRED.  THE SERVICEMAN WAS INJURED AND TAKEN TO LANCASTER GENERAL HOSPITAL AND THEN FLOWN TO CROZER-CHESTER MEDICAL CENTER, IN CHESTER COUNTY.  HE WAS DIAGNOSED WITH FIRST AND SECOND DEGREE BURNS OF HIS HANDS, FOREARM, AND FACE.  INSPECTION REVEALED THAT THE SERVICE LINE TO THE METER SET INSIDE THE BASEMENT WAS DAMAGED BY AN OUTSIDE FORCE.  THE PIPING TO THE GAS METER WAS DEFLECTED BACK TOWARD THE WALL AND THE THREADED JOINT AT THE OUTLET OF A SERVICE TEE WAS CRACKED.  THE CRACK WAS THE SOURCE OF THE ESCAPING GAS.  THIS WAS A LOW PRESSURE (7 INCHES WATER COLUMN) SERVICE, SERVED FROM A LOW PRESSURE MAIN.  THE CAUSE OF DAMAGE IS UNDER INVESTIGATION, BUT PRELIMINARY REPORTS FROM FIRE PERSONNEL ON SITE, WHO SPOKE TO RESIDENTS, NOTED THAT A RESIDENT OF 403 SOUTH QUEEN STREET HAD ROLLED TIRES DOWN THE BASEMENT STEPS AND ONE TIRE HIT THE NATURAL GAS SERVICE LINE."
2004	18508	20040126	SOUTHERN INDIANA GAS & ELECTRIC CO	20 NW FOURTH STREET	EVANSVILLE	VANDERBURGH	IN	477081724	1110	4/3/2004	3307 LINCOLN AVE	EVANSVILLE	IN	VANDERBURGH	47714	37.96938	-87.5095	3	NO	2	RUPTURE				1	CIRCUMFERENTIAL-SEPARATION			2	0	2	0	1	1	0	0	605000	0	5000	600000	YES	YES	YES	20	2	PRECAUTIONARY	0	15	717824	4/3/2004	55	60	TEST PRESSURE	100	3	SERVICE LINE		1	BODY OF PIPE		3	POLYETHYLENE PLASTIC	YES				2001	0.5	0.09	ASTM D-2513				DRISCOPIPE	2000	4	UNDER GROUND		23	INCORRECT OPERATION	INCORRECT OPERATION																												NULL				NULL			NULL			NULL																									NULL	NULL												3	FAILURE TO FOLLOW PROCEDURES				YES	2				36	"RICK L SLAGLE, MANAGER ENGINEERING SERVICES"	8124914611	RLSLAGLE@VECTREN.COM	"AT APPROXIMATELY 7:42 AM ON 4/3/04. VECTREN RECEIVED NOTICE THAT A THIRD PARTY HAD MISTAKENLY TURNED A GAS SERVICE VALVE AND RUPTURED A 1/2"" PE PLASTIC SERVICE LINE AT 33007 LINCOLN AVE. IN EVANSVILLE IN.  THE SERVICE HAD BEEN INSTALLED THROUGH A PREVIOUS USED STEEL ""CURB"" VALVE IN JUNE OF 2001.  A CONTRACTOR WHICH VECTREN HAD HIRED TO INSTALL THE PLASTIC SERVICE LINE HAD FAILED TO REMOVE THE CURB BOX, AS REQUIRED BY THE CONTRACT WITH VECTREN.  THR CURB BOX PROVIDED ACCESS TO THE CURB VALVE.  THE CONTRACTOR ALSO FAILED TO OTHERWISE DISABLE THE CURB VALVE.  THESE FAILURE BY THE CONTRACTOR CONTRIBUTED TO THE EVENT.  AFTER REPAIRS WERE MADE TO THE DAMAGED SERVICE AT APPROXIMATELY 10:55 AM, A VECTREN EMPLOYEE ATTEMPTED TO RE-LIGHT THE WATER HEATER INSIDE THE STRUCTURE.  AS THE ATTEMPT TO RELIGHT TOOK PLACE, AN EXPLOSION OCCURRED."
